name	allegiance	culture	spouse	father	mother	books	show	predecessor	successor	born	died	title	url
Ash	['http://awoiaf.westeros.org/index.php/Three-eyed_crow']					['http://awoiaf.westeros.org/index.php/A_Dance_with_Dragons']				[]	[]	[]	http://awoiaf.westeros.org/index.php/Ash
Asha Greyjoy	['http://awoiaf.westeros.org/index.php/House_Greyjoy', 'http://awoiaf.westeros.org/index.php/House_Ironmaker']	['ironborn']	['http://awoiaf.westeros.org/index.php/Erik_Ironmaker']	['http://awoiaf.westeros.org/index.php/Balon_Greyjoy']	['http://awoiaf.westeros.org/index.php/Alannys_Harlaw']	['http://awoiaf.westeros.org/index.php/A_Game_of_Thrones', 'http://awoiaf.westeros.org/index.php/A_Clash_of_Kings', 'http://awoiaf.westeros.org/index.php/A_Storm_of_Swords', 'http://awoiaf.westeros.org/index.php/A_Feast_for_Crows', 'http://awoiaf.westeros.org/index.php/A_Dance_with_Dragons', 'http://awoiaf.westeros.org/index.php/The_Winds_of_Winter']	['http://awoiaf.westeros.org/index.php/Game_of_Thrones_-_Season_2', 'http://awoiaf.westeros.org/index.php/Game_of_Thrones_-_Season_3', 'http://awoiaf.westeros.org/index.php/Game_of_Thrones_-_Season_4', 'http://awoiaf.westeros.org/index.php/Game_of_Thrones_-_Season_6', 'http://awoiaf.westeros.org/index.php/Game_of_Thrones_-_Season_7', 'http://awoiaf.westeros.org/index.php/Game_of_Thrones_-_Season_8']	['http://awoiaf.westeros.org/index.php/Galbart_Glover']	[]	[b'In275AC or 276AC[4],Pyke[5]']	[]	[['Princess', 'Captain of the Black Wind', 'Conqueror of Deepwood Motte[3]']]	http://awoiaf.westeros.org/index.php/Asha_Greyjoy
Ashara Dayne	['http://awoiaf.westeros.org/index.php/House_Dayne']	['Dornishmen']				['http://awoiaf.westeros.org/index.php/A_Game_of_Thrones', 'http://awoiaf.westeros.org/index.php/A_Clash_of_Kings', 'http://awoiaf.westeros.org/index.php/A_Storm_of_Swords', 'http://awoiaf.westeros.org/index.php/A_Dance_with_Dragons']				[b'In260269AC[3],Dorne[4]']	[b'In283AC,Starfall']	[]	http://awoiaf.westeros.org/index.php/Ashara_Dayne
Lord Ashford	['http://awoiaf.westeros.org/index.php/House_Ashford']	['Reach']				['http://awoiaf.westeros.org/index.php/The_Hedge_Knight']				[b'Ashford[1]']	[]	[['Lord of Ashford[1]']]	http://awoiaf.westeros.org/index.php/Lord_Ashford
Assadora		['Ibbenese']				['http://awoiaf.westeros.org/index.php/A_Feast_for_Crows']				[b'Ibben']	[]	[]	http://awoiaf.westeros.org/index.php/Assadora_of_Ibben
Aubrey Ambrose	['http://awoiaf.westeros.org/index.php/House_Ambrose']	['Reach']				['http://awoiaf.westeros.org/index.php/The_Sworn_Sword']				[]	[]	[['Ser']]	http://awoiaf.westeros.org/index.php/Aubrey_Ambrose
Aubrey Crakehall								['http://awoiaf.westeros.org/index.php/Hagon_Hoare']	['http://awoiaf.westeros.org/index.php/House_Hoare']	[]	[]	[]	http://awoiaf.westeros.org/index.php/Aubrey_Crakehall
Aurane Waters[1]	['http://awoiaf.westeros.org/index.php/House_Velaryon', 'http://awoiaf.westeros.org/index.php/House_Baratheon_of_Dragonstone', 'http://awoiaf.westeros.org/index.php/House_Baratheon_of_King%27s_Landing']	['Crownlands']				['http://awoiaf.westeros.org/index.php/A_Clash_of_Kings', 'http://awoiaf.westeros.org/index.php/A_Storm_of_Swords', 'http://awoiaf.westeros.org/index.php/A_Feast_for_Crows', 'http://awoiaf.westeros.org/index.php/A_Dance_with_Dragons']				[b'In277AC or 278AC[6],Driftmark[7]']	[]	[['Grand admiral[3] (master of ships)', 'Lord[4]', 'Lord of the Waters[5] (possibly)']]	http://awoiaf.westeros.org/index.php/Aurane_Waters
Aurion	['http://awoiaf.westeros.org/index.php/Valyrian_Freehold']	['Valyrian']				['http://awoiaf.westeros.org/index.php/The_World_of_Ice_%26_Fire']				[]	[b'In102BC or shortly after,Valyrian peninsula']	[['Dragonlord', 'Emperor of Valyria']]	http://awoiaf.westeros.org/index.php/Aurion
Axel Tully	['http://awoiaf.westeros.org/index.php/House_Tully']	['Rivermen']		['http://awoiaf.westeros.org/index.php/Edmure_Tully_(father_of_Axel)']		['http://awoiaf.westeros.org/index.php/The_World_of_Ice_%26_Fire']				[]	[]	[['Lord of Riverrun']]	http://awoiaf.westeros.org/index.php/Axel_Tully
Axell Florent	['http://awoiaf.westeros.org/index.php/House_Florent', 'http://awoiaf.westeros.org/index.php/Queen%27s_men']	['Reach']				['http://awoiaf.westeros.org/index.php/A_Clash_of_Kings', 'http://awoiaf.westeros.org/index.php/A_Storm_of_Swords', 'http://awoiaf.westeros.org/index.php/A_Feast_for_Crows', 'http://awoiaf.westeros.org/index.php/A_Dance_with_Dragons']				[b'Brightwater Keep[1]']	[]	"[['Ser', 'Castellan of Dragonstone (formerly)', ""Queen's Hand (self-styled)""]]"	http://awoiaf.westeros.org/index.php/Axell_Florent
Ayrmidon		['Valyrian']				['http://awoiaf.westeros.org/index.php/A_Game_of_Thrones']				[]	[]	[]	http://awoiaf.westeros.org/index.php/Ayrmidon
Azor Ahai		['Asshai']	['http://awoiaf.westeros.org/index.php/Nissa_Nissa']			['http://awoiaf.westeros.org/index.php/The_World_of_Ice_%26_Fire', 'http://awoiaf.westeros.org/index.php/A_Clash_of_Kings', 'http://awoiaf.westeros.org/index.php/A_Storm_of_Swords', 'http://awoiaf.westeros.org/index.php/A_Feast_for_Crows', 'http://awoiaf.westeros.org/index.php/A_Dance_with_Dragons']				[b'Essos[4]']	[]	[]	http://awoiaf.westeros.org/index.php/Azor_Ahai
Azzak zo Ghazeen	['http://awoiaf.westeros.org/index.php/House_of_Ghazeen']	['Ghiscari']				['http://awoiaf.westeros.org/index.php/A_Dance_with_Dragons']				[b'Meereen']	[]	[['Cupbearer']]	http://awoiaf.westeros.org/index.php/Azzak_zo_Ghazeen
Bael		['Free folk']				['http://awoiaf.westeros.org/index.php/The_World_of_Ice_%26_Fire', 'http://awoiaf.westeros.org/index.php/A_Clash_of_Kings', 'http://awoiaf.westeros.org/index.php/A_Storm_of_Swords']				[]	[]	[['King-Beyond-the-Wall']]	http://awoiaf.westeros.org/index.php/Bael_the_Bard
Baelish	['http://awoiaf.westeros.org/index.php/House_Baelish']	['Valemen']		['http://awoiaf.westeros.org/index.php/Baelish_(sellsword)']		['http://awoiaf.westeros.org/index.php/A_Clash_of_Kings', 'http://awoiaf.westeros.org/index.php/A_Storm_of_Swords']				[]	[]	[['Ser']]	http://awoiaf.westeros.org/index.php/Baelish_(hedge_knight)
Baelish	['http://awoiaf.westeros.org/index.php/House_Baelish', 'http://awoiaf.westeros.org/index.php/House_Arryn']	['Valemen']	['http://awoiaf.westeros.org/index.php/Alayne_Baelish']	['http://awoiaf.westeros.org/index.php/Baelish_(hedge_knight)']		['http://awoiaf.westeros.org/index.php/A_Clash_of_Kings', 'http://awoiaf.westeros.org/index.php/A_Storm_of_Swords']				[b'Inat least several years before 256AC[1]']	[b'In282296AC[1]']	[['Lord']]	http://awoiaf.westeros.org/index.php/Baelish_(lord)
Baelish	['http://awoiaf.westeros.org/index.php/House_Corbray']	['Braavosi']				['http://awoiaf.westeros.org/index.php/A_Storm_of_Swords']				[]	[]	[]	http://awoiaf.westeros.org/index.php/Baelish_(sellsword)
Baela Targaryen	['http://awoiaf.westeros.org/index.php/House_Targaryen', 'http://awoiaf.westeros.org/index.php/House_Velaryon', 'http://awoiaf.westeros.org/index.php/Blacks']	['Crownlands']	['http://awoiaf.westeros.org/index.php/Alyn_Velaryon']	['http://awoiaf.westeros.org/index.php/Daemon_Targaryen']	['http://awoiaf.westeros.org/index.php/Laena_Velaryon']	['http://awoiaf.westeros.org/index.php/The_World_of_Ice_%26_Fire', 'http://awoiaf.westeros.org/index.php/Fire_%26_Blood', 'http://awoiaf.westeros.org/index.php/The_Rogue_Prince', 'http://awoiaf.westeros.org/index.php/The_Princess_and_the_Queen']	['http://awoiaf.westeros.org/index.php/House_of_the_Dragon', 'http://awoiaf.westeros.org/index.php/House_of_the_Dragon_-_Season_1']			[b'In116AC[6],Pentos']	[b'In136176AC[7]']	[['Lady[3]', 'Princess[4]', 'Lady of Driftmark[5]']]	http://awoiaf.westeros.org/index.php/Baela_Targaryen
Baelon Targaryen[1]	['http://awoiaf.westeros.org/index.php/House_Targaryen']			['http://awoiaf.westeros.org/index.php/Aerys_Targaryen_(son_of_Aegon)']		['http://awoiaf.westeros.org/index.php/The_World_of_Ice_%26_Fire', 'http://awoiaf.westeros.org/index.php/Fire_%26_Blood']				[b'In8854BC[2],Dragonstone']	[]	[['Lord of Dragonstone']]	http://awoiaf.westeros.org/index.php/Baelon_Targaryen_(son_of_Aerys)
Baelon Targaryen	['http://awoiaf.westeros.org/index.php/House_Targaryen']	['Crownlands']		['http://awoiaf.westeros.org/index.php/Viserys_I_Targaryen']	['http://awoiaf.westeros.org/index.php/Aemma_Arryn']	['http://awoiaf.westeros.org/index.php/The_World_of_Ice_%26_Fire', 'http://awoiaf.westeros.org/index.php/Fire_and_Blood', 'http://awoiaf.westeros.org/index.php/The_Rogue_Prince']	['http://awoiaf.westeros.org/index.php/House_of_the_Dragon', 'http://awoiaf.westeros.org/index.php/House_of_the_Dragon_-_Season_1']			"[b""In105AC[1],King's Landing[1]""]"	"[b""In105AC[1],King's Landing[1]""]"	[['Prince']]	http://awoiaf.westeros.org/index.php/Baelon_Targaryen_(son_of_Viserys_I)
Baelor Blacktyde	['http://awoiaf.westeros.org/index.php/House_Blacktyde']	['Ironborn']		['http://awoiaf.westeros.org/index.php/Lord_Blacktyde']		['http://awoiaf.westeros.org/index.php/A_Clash_of_Kings', 'http://awoiaf.westeros.org/index.php/A_Storm_of_Swords', 'http://awoiaf.westeros.org/index.php/A_Feast_for_Crows']				[]	[b'In300AC[2],Old Wyk[2]']	[['Lord of Blacktyde[1]', 'Captain of the Nightflyer']]	http://awoiaf.westeros.org/index.php/Baelor_Blacktyde
Baelor Hightower	['http://awoiaf.westeros.org/index.php/House_Hightower']	['Reach']	['http://awoiaf.westeros.org/index.php/Rhonda_Rowan', 'http://awoiaf.westeros.org/index.php/Baelor_Hightower']	['http://awoiaf.westeros.org/index.php/Leyton_Hightower']		['http://awoiaf.westeros.org/index.php/A_Storm_of_Swords', 'http://awoiaf.westeros.org/index.php/A_Feast_for_Crows', 'http://awoiaf.westeros.org/index.php/The_Winds_of_Winter']				[b'Oldtown[3]']	[]	[['Ser[1]']]	http://awoiaf.westeros.org/index.php/Baelor_Hightower
Baelor I				['http://awoiaf.westeros.org/index.php/Aegon_III_Targaryen']	['http://awoiaf.westeros.org/index.php/Daenaera_Velaryon']			['http://awoiaf.westeros.org/index.php/Daeron_I_Targaryen']	['http://awoiaf.westeros.org/index.php/Viserys_II_Targaryen']	"[b""In144AC[4],atKing's Landing[5]""]"	"[b""In171AC,atKing's Landing[5]""]"	[]	http://awoiaf.westeros.org/index.php/Baelor_I_Targaryen
PrinceBaelor Targaryen	['http://awoiaf.westeros.org/index.php/House_Targaryen']	['Crownlands']	['http://awoiaf.westeros.org/index.php/Jena_Dondarrion', 'http://awoiaf.westeros.org/index.php/Baelor_Targaryen_(son_of_Daeron_II)']	['http://awoiaf.westeros.org/index.php/Daeron_II_Targaryen']	['http://awoiaf.westeros.org/index.php/Myriah_Martell']	['http://awoiaf.westeros.org/index.php/The_World_of_Ice_%26_Fire', 'http://awoiaf.westeros.org/index.php/The_Hedge_Knight', 'http://awoiaf.westeros.org/index.php/The_Sworn_Sword', 'http://awoiaf.westeros.org/index.php/The_Mystery_Knight', 'http://awoiaf.westeros.org/index.php/A_Storm_of_Swords', 'http://awoiaf.westeros.org/index.php/The_Winds_of_Winter']				[b'In170AC[4]']	[b'In209AC[5],Ashford[1]']	[['Prince', 'Ser[3]', 'Prince of Dragonstone[1]', 'Protector of the Realm[1]', 'Hand of the King[1]']]	http://awoiaf.westeros.org/index.php/Baelor_Targaryen_(son_of_Daeron_II)
Black Balaq	['http://awoiaf.westeros.org/index.php/Golden_Company']	['Summer Islander']				['http://awoiaf.westeros.org/index.php/A_Dance_with_Dragons']				[]	[]	"[[""Commander of the Golden Company's archers""]]"	http://awoiaf.westeros.org/index.php/Black_Balaq
Balder	['http://awoiaf.westeros.org/index.php/Citadel', 'http://awoiaf.westeros.org/index.php/Night%27s_Watch']					['http://awoiaf.westeros.org/index.php/The_World_of_Ice_%26_Fire']				[]	[]	[['Maester at Eastwatch-by-the-Sea']]	http://awoiaf.westeros.org/index.php/Balder
Baldric I Durrandon										[]	[]	[]	http://awoiaf.westeros.org/index.php/Baldric_I_Durrandon
Baldrick	['http://awoiaf.westeros.org/index.php/Faith_of_the_Seven']	['Westerosi']				['http://awoiaf.westeros.org/index.php/Fire_%26_Blood', 'http://awoiaf.westeros.org/index.php/The_Rise_of_the_Dragon']				[]	[]	[['Septon']]	http://awoiaf.westeros.org/index.php/Baldrick
Balerion Otherys	['http://awoiaf.westeros.org/index.php/House_Otherys']	['Braavosi']		['http://awoiaf.westeros.org/index.php/Aegon_IV_Targaryen']	['http://awoiaf.westeros.org/index.php/Bellegere_Otherys']	['http://awoiaf.westeros.org/index.php/The_World_of_Ice_%26_Fire']				[b'In163172AC[1]']	[]	[]	http://awoiaf.westeros.org/index.php/Balerion_Otherys
Ballabar	['http://awoiaf.westeros.org/index.php/Citadel', 'http://awoiaf.westeros.org/index.php/House_Redwyne']					['http://awoiaf.westeros.org/index.php/A_Clash_of_Kings', 'http://awoiaf.westeros.org/index.php/A_Storm_of_Swords', 'http://awoiaf.westeros.org/index.php/A_Feast_for_Crows', 'http://awoiaf.westeros.org/index.php/A_Dance_with_Dragons']				[b'Westeros[1]']	[]	[['Maester at the Arbor']]	http://awoiaf.westeros.org/index.php/Ballabar
Balman Byrch	['http://awoiaf.westeros.org/index.php/House_Byrch', 'http://awoiaf.westeros.org/index.php/House_Stokeworth']	['Crownlands']	['http://awoiaf.westeros.org/index.php/Falyse_Stokeworth']			['http://awoiaf.westeros.org/index.php/A_Storm_of_Swords', 'http://awoiaf.westeros.org/index.php/A_Feast_for_Crows', 'http://awoiaf.westeros.org/index.php/A_Dance_with_Dragons']				[]	[b'In300AC,Stokeworth']	[['Ser']]	http://awoiaf.westeros.org/index.php/Balman_Byrch
Balon Blackskin						['http://awoiaf.westeros.org/index.php/The_World_of_Ice_%26_Fire']				[]	[]	[]	http://awoiaf.westeros.org/index.php/Balon_Blackskin
Balon Botley	['http://awoiaf.westeros.org/index.php/House_Botley']	['ironborn']		['http://awoiaf.westeros.org/index.php/Germund_Botley']		['http://awoiaf.westeros.org/index.php/A_Feast_for_Crows']				[]	[]	[]	http://awoiaf.westeros.org/index.php/Balon_Botley
Balon Greyjoy				['http://awoiaf.westeros.org/index.php/Quellon_Greyjoy']	['http://awoiaf.westeros.org/index.php/Lady_Sunderly_(wife_of_Quellon_Greyjoy)']		['http://awoiaf.westeros.org/index.php/Game_of_Thrones_-_Season_2', 'http://awoiaf.westeros.org/index.php/Game_of_Thrones_-_Season_3', 'http://awoiaf.westeros.org/index.php/Game_of_Thrones_-_Season_6']		['http://awoiaf.westeros.org/index.php/Euron_Greyjoy']	[b'In255261AC[5],atPyke[6]']	[b'In299AC,atPyke']	[]	http://awoiaf.westeros.org/index.php/Balon_Greyjoy
Balon V Greyjoy										[]	[]	[]	http://awoiaf.westeros.org/index.php/Balon_V_Greyjoy
Balon Swann	['http://awoiaf.westeros.org/index.php/House_Swann', 'http://awoiaf.westeros.org/index.php/Kingsguard']	['Marcher[2]']		['http://awoiaf.westeros.org/index.php/Gulian_Swann']		['http://awoiaf.westeros.org/index.php/A_Game_of_Thrones', 'http://awoiaf.westeros.org/index.php/A_Clash_of_Kings', 'http://awoiaf.westeros.org/index.php/A_Storm_of_Swords', 'http://awoiaf.westeros.org/index.php/A_Feast_for_Crows', 'http://awoiaf.westeros.org/index.php/A_Dance_with_Dragons']				[b'Stonehelm[2]']	[]	[['Ser[1]']]	http://awoiaf.westeros.org/index.php/Balon_Swann
Balon Tawney	['http://awoiaf.westeros.org/index.php/House_Tawney']	['ironborn']				['http://awoiaf.westeros.org/index.php/A_Dance_with_Dragons']				[]	[]	[['Lord']]	http://awoiaf.westeros.org/index.php/Balon_Tawney
Bambarro Bazanne		['Lysene']				['http://awoiaf.westeros.org/index.php/Fire_%26_Blood']				[]	[b'In132AC,Disputed Lands']	[['Magister']]	http://awoiaf.westeros.org/index.php/Bambarro_Bazanne
Bandy	['http://awoiaf.westeros.org/index.php/House_Stark']	['Northmen']		['http://awoiaf.westeros.org/index.php/Joseth']		['http://awoiaf.westeros.org/index.php/A_Clash_of_Kings', 'http://awoiaf.westeros.org/index.php/A_Feast_for_Crows']				[]	[]	[]	http://awoiaf.westeros.org/index.php/Bandy
Bannen	['http://awoiaf.westeros.org/index.php/Night%27s_Watch']	['Northmen']				['http://awoiaf.westeros.org/index.php/A_Storm_of_Swords']				[b'or near White Harbor']	"[b""In299AC,Craster's Keep""]"	[]	http://awoiaf.westeros.org/index.php/Bannen
Barba Bolton	['http://awoiaf.westeros.org/index.php/House_Bolton']	['Northmen']				['http://awoiaf.westeros.org/index.php/Fire_%26_Blood']				[b'In103133AC[1]']	[]	[]	http://awoiaf.westeros.org/index.php/Barba_Bolton
Barba Bracken	['http://awoiaf.westeros.org/index.php/House_Bracken']	['Rivermen']		['http://awoiaf.westeros.org/index.php/Lord_Bracken_(Hand_of_the_King)']		['http://awoiaf.westeros.org/index.php/The_World_of_Ice_%26_Fire', 'http://awoiaf.westeros.org/index.php/A_Dance_with_Dragons']				[b'In155AC[1]']	[]	[['Lady']]	http://awoiaf.westeros.org/index.php/Barba_Bracken
Barbara Bracken	['http://awoiaf.westeros.org/index.php/House_Bracken']	['Rivermen']		['http://awoiaf.westeros.org/index.php/Jonos_Bracken']	[]	['http://awoiaf.westeros.org/index.php/A_Dance_with_Dragons']				[]	[]	[]	http://awoiaf.westeros.org/index.php/Barbara_Bracken
Barbrey Dustin	['http://awoiaf.westeros.org/index.php/House_Ryswell', 'http://awoiaf.westeros.org/index.php/House_Dustin']	['Northmen']	['http://awoiaf.westeros.org/index.php/Willam_Dustin', 'http://awoiaf.westeros.org/index.php/Barbrey_Dustin']	['http://awoiaf.westeros.org/index.php/Rodrik_Ryswell']		['http://awoiaf.westeros.org/index.php/A_Feast_for_Crows', 'http://awoiaf.westeros.org/index.php/A_Dance_with_Dragons']		['http://awoiaf.westeros.org/index.php/Willam_Dustin']		[b'In~262AC[2],the Rills[3]']	[]	[['Lady of Barrowton[1]']]	http://awoiaf.westeros.org/index.php/Barbrey_Dustin
Barneby	['http://awoiaf.westeros.org/index.php/Citadel']					['http://awoiaf.westeros.org/index.php/The_World_of_Ice_%26_Fire']				[]	[]	[['Maester']]	http://awoiaf.westeros.org/index.php/Barneby
Barquen Peake	['http://awoiaf.westeros.org/index.php/House_Peake']	['Reach']				['http://awoiaf.westeros.org/index.php/Fire_%26_Blood']				[]	[]	[['Ser']]	http://awoiaf.westeros.org/index.php/Barquen_Peake
Barra		['Crownlands']		['http://awoiaf.westeros.org/index.php/Robert_I_Baratheon']	['http://awoiaf.westeros.org/index.php/Mhaegen']	['http://awoiaf.westeros.org/index.php/A_Game_of_Thrones', 'http://awoiaf.westeros.org/index.php/A_Clash_of_Kings', 'http://awoiaf.westeros.org/index.php/A_Dance_with_Dragons']	['http://awoiaf.westeros.org/index.php/Season_1', 'http://awoiaf.westeros.org/index.php/Season_2']			"[b""In298AC,King's Landing""]"	"[b""In299AC,King's Landing""]"	[]	http://awoiaf.westeros.org/index.php/Barra
Barre						['http://awoiaf.westeros.org/index.php/A_Clash_of_Kings']				[]	[]	[['Septon']]	http://awoiaf.westeros.org/index.php/Barre
Barris Hightower	['http://awoiaf.westeros.org/index.php/House_Hightower']	['Reach']		['http://awoiaf.westeros.org/index.php/Triston_Hightower']		['http://awoiaf.westeros.org/index.php/The_World_of_Ice_%26_Fire']		['http://awoiaf.westeros.org/index.php/Triston_Hightower']		[]	[]	[['Beacon of the South', 'Defender of Oldtown', 'Defender of the Citadel', 'Lord of Oldtown', 'Lord of the Hightower', 'Lord of the Port', 'Voice of Oldtown']]	http://awoiaf.westeros.org/index.php/Barris_Hightower
Barristan Selmy	['http://awoiaf.westeros.org/index.php/House_Selmy', 'http://awoiaf.westeros.org/index.php/House_Baratheon_of_King%27s_Landing', 'http://awoiaf.westeros.org/index.php/Kingsguard', 'http://awoiaf.westeros.org/index.php/House_Targaryen', 'http://awoiaf.westeros.org/index.php/Queensguard']	['Marcher[6]']		['http://awoiaf.westeros.org/index.php/Lyonel_Selmy']		['http://awoiaf.westeros.org/index.php/The_World_of_Ice_%26_Fire', 'http://awoiaf.westeros.org/index.php/A_Game_of_Thrones', 'http://awoiaf.westeros.org/index.php/A_Clash_of_Kings', 'http://awoiaf.westeros.org/index.php/A_Storm_of_Swords', 'http://awoiaf.westeros.org/index.php/A_Feast_for_Crows', 'http://awoiaf.westeros.org/index.php/A_Dance_with_Dragons', 'http://awoiaf.westeros.org/index.php/The_Winds_of_Winter']	['http://awoiaf.westeros.org/index.php/Game_of_Thrones', 'http://awoiaf.westeros.org/index.php/Game_of_Thrones_-_Season_1', 'http://awoiaf.westeros.org/index.php/Game_of_Thrones_-_Season_3', 'http://awoiaf.westeros.org/index.php/Game_of_Thrones_-_Season_4', 'http://awoiaf.westeros.org/index.php/Game_of_Thrones_-_Season_5']	['http://awoiaf.westeros.org/index.php/Gerold_Hightower', 'http://awoiaf.westeros.org/index.php/Jorah_Mormont']	['http://awoiaf.westeros.org/index.php/Jaime_Lannister']	[b'In236AC or 237AC[7],Harvest Hall[3]']	[]	[['Ser', 'Lord Commander of the Kingsguard (dismissed)', 'Hand of the Queen', 'Lord Commander of the Queensguard']]	http://awoiaf.westeros.org/index.php/Barristan_Selmy
Barron Durrandon				['http://awoiaf.westeros.org/index.php/Durran_XI_Durrandon']				['http://awoiaf.westeros.org/index.php/Durran_XI_Durrandon']		[]	[]	[]	http://awoiaf.westeros.org/index.php/Barron_Durrandon
Barsena		['Ghiscari']				['http://awoiaf.westeros.org/index.php/A_Dance_with_Dragons']				[b'In270AC (roughly)[1]']	[b'In300AC[2],Meereen[2]']	[]	http://awoiaf.westeros.org/index.php/Barsena_Blackhair
Barth	['http://awoiaf.westeros.org/index.php/Faith_of_the_Seven', 'http://awoiaf.westeros.org/index.php/House_Tyrell', 'http://awoiaf.westeros.org/index.php/House_Targaryen']	['Reach']				['http://awoiaf.westeros.org/index.php/The_World_of_Ice_%26_Fire', 'http://awoiaf.westeros.org/index.php/Fire_%26_Blood', 'http://awoiaf.westeros.org/index.php/The_Rogue_Prince', 'http://awoiaf.westeros.org/index.php/A_Storm_of_Swords', 'http://awoiaf.westeros.org/index.php/A_Feast_for_Crows', 'http://awoiaf.westeros.org/index.php/A_Dance_with_Dragons']				[b'Inor before 37AC[1]']	[b'In98AC[2][N 1],Red Keep[3]']	[['Septon', 'Hand of the King']]	http://awoiaf.westeros.org/index.php/Barth
Barth	['http://awoiaf.westeros.org/index.php/House_Stark']	['Northmen']	[]			['http://awoiaf.westeros.org/index.php/A_Clash_of_Kings']				[]	[]	[]	http://awoiaf.westeros.org/index.php/Barth_(brewer)
Barthogan Stark	['http://awoiaf.westeros.org/index.php/House_Stark']	['Northmen']		['http://awoiaf.westeros.org/index.php/Cregan_Stark']	['http://awoiaf.westeros.org/index.php/Lynara_Stark']	['http://awoiaf.westeros.org/index.php/The_World_of_Ice_%26_Fire', 'http://awoiaf.westeros.org/index.php/A_Clash_of_Kings']		['http://awoiaf.westeros.org/index.php/Jonnel_Stark']	['http://awoiaf.westeros.org/index.php/Brandon_Stark_(son_of_Cregan)']	[b'In139182AC[3]']	[b'In184209AC[3]']	[['Lord of Winterfell[2]', 'Warden of the North[2]']]	http://awoiaf.westeros.org/index.php/Barthogan_Stark
Bartimos Celtigar	['http://awoiaf.westeros.org/index.php/House_Celtigar', 'http://awoiaf.westeros.org/index.php/Blacks']	['Crownlands']				['http://awoiaf.westeros.org/index.php/Fire_%26_Blood', 'http://awoiaf.westeros.org/index.php/The_Princess_and_the_Queen']	['http://awoiaf.westeros.org/index.php/House_of_the_Dragon', 'http://awoiaf.westeros.org/index.php/House_of_the_Dragon_-_Season_1']			[]	"[b""In130AC,King's Landing""]"	[['Lord of Claw Isle', 'Master of coin', 'Lord treasurer']]	http://awoiaf.westeros.org/index.php/Bartimos_Celtigar
Bartimus	['http://awoiaf.westeros.org/index.php/House_Manderly']	['Northmen']				['http://awoiaf.westeros.org/index.php/A_Dance_with_Dragons']				[b'White Harbor']	[]	"[['Ser', ""Castellan of the Wolf's Den"", ""Chief gaoler of the Wolf's Den""]]"	http://awoiaf.westeros.org/index.php/Bartimus
Bass	['http://awoiaf.westeros.org/index.php/Night%27s_Watch']					['http://awoiaf.westeros.org/index.php/A_Game_of_Thrones']				[]	[]	[['Kennelmaster at Castle Black']]	http://awoiaf.westeros.org/index.php/Bass
Storm	['http://awoiaf.westeros.org/index.php/House_Dondarrion']	['Marcher']				['http://awoiaf.westeros.org/index.php/The_World_of_Ice_%26_Fire', 'http://awoiaf.westeros.org/index.php/Fire_%26_Blood']				[]	[b'In2 BC[1],south of Bronzegate[1]']	[]	http://awoiaf.westeros.org/index.php/Bastard_of_Blackhaven
Rivers	['http://awoiaf.westeros.org/index.php/House_Lothston']	['Rivermen']				['http://awoiaf.westeros.org/index.php/The_Hedge_Knight']				[]	[]	[]	http://awoiaf.westeros.org/index.php/Bastard_of_Harrenhal
the bastard's bastard						['http://awoiaf.westeros.org/index.php/The_Winds_of_Winter']				[]	[]	[]	http://awoiaf.westeros.org/index.php/Bastard%27s_bastard
Bathi Ma Lo	['http://awoiaf.westeros.org/index.php/Scarlet_emperors']	['YiTish']				['http://awoiaf.westeros.org/index.php/The_World_of_Ice_%26_Fire']				[]	[]	[['Empress']]	http://awoiaf.westeros.org/index.php/Bathi_Ma_Lo
Bayard Norcross	['http://awoiaf.westeros.org/index.php/House_Norcross']	['Reach']				['http://awoiaf.westeros.org/index.php/A_Feast_for_Crows', 'http://awoiaf.westeros.org/index.php/A_Dance_with_Dragons']				[]	[]	[['Ser']]	http://awoiaf.westeros.org/index.php/Bayard_Norcross
Bean		['Crownlands']				['http://awoiaf.westeros.org/index.php/Fire_%26_Blood', 'http://awoiaf.westeros.org/index.php/The_Princess_and_the_Queen']				[]	[]	[]	http://awoiaf.westeros.org/index.php/Bean
Baqq	['http://awoiaf.westeros.org/index.php/Windblown']	['Myrish']				['http://awoiaf.westeros.org/index.php/A_Dance_with_Dragons']				[b'Myr']	[]	[]	http://awoiaf.westeros.org/index.php/Beans
bearded woman	['http://awoiaf.westeros.org/index.php/House_of_Qaggaz']	['Ghiscari']				['http://awoiaf.westeros.org/index.php/A_Dance_with_Dragons']				[]	[]	[]	http://awoiaf.westeros.org/index.php/Bearded_woman
The Beastmaster		['Ghiscari']				['http://awoiaf.westeros.org/index.php/A_Dance_with_Dragons']				[b'Yunkai']	[]	[]	http://awoiaf.westeros.org/index.php/Beastmaster
Beatrice Butterwell	['http://awoiaf.westeros.org/index.php/House_Butterwell']	['Rivermen']				['http://awoiaf.westeros.org/index.php/Fire_%26_Blood']				[]	[]	[]	http://awoiaf.westeros.org/index.php/Beatrice_Butterwell
Bearded Ben	['http://awoiaf.westeros.org/index.php/Night%27s_Watch']					['http://awoiaf.westeros.org/index.php/A_Feast_for_Crows', 'http://awoiaf.westeros.org/index.php/A_Dance_with_Dragons']				[]	[]	[]	http://awoiaf.westeros.org/index.php/Bearded_Ben
